#	name	ves	t	
1	--1	7.85
2	--2	15.7
3	--3	23.55
4	--4	31.4
5	--5	39.25
6	--6	47.1
7	--7	54.95
8	--8	62.8
9	--9	70.65
10	--10	78.5
11	--11	86.35
12	--12	94.2
13	--13	102.05
14	--14	109.9
15	--15	117.75
16	--16	125.6
17	--17	133.45
18	--18	141.3
19	--19	149.15
20	--20	157
21	--21	164.85
22	--22	172.7
23	--23	180.55
24	--24	188.4
25	--25	196.25
26	--26	204.1
27	--27	211.95
28	--28	219.8
29	--29	227.65
30	--30	235.5
31	--31	243.35
32	--32	251.2
33	--33	259.05
34	--34	266.9
35	--36	282.6
36	--38	298.3
37	--40	314
38	--42	329.7
39	--45	353.25
40	--48	376.8
41	--50	392.5
