#	имя	Вес		D	s	
1	d5.0	0.154	0.196	5.0	0	
2	d5.5	0.186	0.238	5.5	0	
3	d6.0	0.222	0.283	6.0	0	
4	d6.3	0.245	0.312	6.3	0	
5	d6.5	0.26	0.332	6.5	0	
6	d7.0	0.302	0.385	7.0	0	
7	d8.0	0.395	0.503	8.0	0	
8	d9.0	0.499	0.636	9.0	0	
9	d10.0	0.616	0.785	10.0	0	
10	d11.0	0.746	0.95	11.0	0	
11	d12.0	0.888	1.131	12.0	0	
12	d13.0	1.04	1.327	13.0	0	
13	d14.0	1.21	1.539	14.0	0	
14	d15.0	1.39	1.767	15.0	0	
15	d16.0	1.58	2.011	16.0	0	
16	d17.0	1.78	2.27	17.0	0	
17	d18.0	2	2.545	18.0	0	
18	d19.0	2.23	2.835	19.0	0	
19	d20.0	2.47	3.142	20.0	0	
20	d21.0	2.72	3.464	21.0	0	
21	d22.0	2.98	3.801	22.0	0	
22	d23.0	3.26	4.155	23.0	0	
23	d24.0	3.55	4.524	24.0	0	
24	d25.0	3.85	4.909	25.0	0	
25	d26.0	4.17	5.307	26.0	0	
26	d27.0	4.5	5.726	27.0	0	
27	d28.0	4.83	6.158	28.0	0	
28	d29.0	5.18	6.605	29.0	0	
29	d30.0	5.55	7.069	30.0	0	
30	d31.0	5.92	7.548	31.0	0	
31	d32.0	6.31	8.042	32.0	0	
32	d33.0	6.71	8.533	33.0	0	
33	d34.0	7.13	9.079	34.0	0	
34	d35.0	7.55	9.621	35.0	0	
35	d36.0	7.99	10.18	36.0	0	
36	d37.0	8.44	10.75	37.0	0	
37	d38.0	8.9	11.34	38.0	0	
38	d39.0	9.38	11.95	39.0	0	
39	d40.0	9.86	12.57	40.0	0	
40	d41.0	10.36	13.2	41.0	0	
41	d42.0	10.88	13.85	42.0	0	
42	d43.0	11.4	14.52	43.0	0	
43	d44.0	11.94	15.2	44.0	0	
44	d45.0	12.48	15.9	45.0	0	
45	d46.0	13.05	16.62	46.0	0	
46	d47.0	13.61	17.35	47.0	0	
47	d48.0	14.2	18.1	48.0	0	
48	d50.0	15.42	19.64	50.0	0	
49	d52.0	16.67	21.24	52.0	0	
50	d53.0	17.32	22.06	53.0	0	
51	d54.0	17.97	22.89	54.0	0	
52	d55.0	18.65	23.76	55.0	0	
53	d56.0	19.33	24.63	56.0	0	
54	d58.0	20.74	26.42	58.0	0	
55	d60.0	22.19	28.27	60.0	0	
56	d62.0	23.7	30.19	62.0	0	
57	d63.0	24.47	31.17	63.0	0	
58	d65.0	26.05	33.18	65.0	0	
59	d67.0	27.68	35.26	67.0	0	
60	d68.0	28.51	36.32	68.0	0	
61	d70.0	30.21	38.48	70.0	0	
62	d72.0	31.96	40.72	72.0	0	
63	d75.0	34.68	44.18	75.0	0	
64	d78.0	37.51	47.78	78.0	0	
65	d80.0	39.46	50.27	80.0	0	
66	d82.0	41.46	52.81	82.0	0	
67	d85.0	44.54	56.74	85.0	0	
68	d87.0	46.64	59.42	87.0	0	
69	d90.0	49.94	63.62	90.0	0	
70	d92.0	52.16	66.44	92.0	0	
71	d95.0	55.64	70.88	95.0	0	
72	d97.0	57.98	73.86	97.0	0	
73	d100.0	61.65	78.54	100.0	0	
74	d105.0	67.97	86.59	105.0	0	
75	d110.0	74.6	95.03	110.0	0	
76	d115.0	81.54	103.87	115.0	0	
77	d120.0	88.78	113.1	120.0	0	
78	d125.0	96.33	122.72	125.0	0	
79	d130.0	104.2	132.73	130.0	0	
80	d135.0	112.36	143.14	135.0	0	
81	d140.0	120.84	153.94	140.0	0	
82	d145.0	129.6	165.1	145.0	0	
83	d150.0	138.72	176.72	150.0	0	
84	d155.0	148.05	188.6	155.0	0	
85	d160.0	157.83	201.06	160.0	0	
86	d165.0	167.77	213.72	165.0	0	
87	d170.0	178.18	226.98	170.0	0	
88	d175.0	188.72	240.41	175.0	0	
89	d180.0	199.76	254.47	180.0	0	
90	d185.0	210.91	268.67	185.0	0	
91	d190.0	222.57	283.53	190.0	0	
92	d195.0	234.32	298.5	195.0	0	
93	d200.0	246.62	314.16	200.0	0	
94	d210.0	271.89	346.36	210.0	0	
95	d220.0	298.4	380.13	220.0	0	
96	d230.0	326.15	415.48	230.0	0	
97	d240.0	355.13	452.39	240.0	0	
98	d250.0	385.34	490.88	250.0	0	
99	d260.0	416.57	530	260.0	0	
100	d270.0	449.22	572.26	270.0	0	
