#		P	A	h	b	s	r	Iy	Wy	iy	Iz	Wz	iz
82	90x50x6.5	11.82	15.06	90	50	6.5	16.5	134.7	29.93	29.9	52.62	21.05	18.7
83	90x50x7	12.53	15.96	90	50	7	17.5	139.4	30.97	29.6	54.27	21.71	18.4
84	90x60x3	6.6	8.41	90	60	3	6	93.19	20.71	33.3	49.73	16.58	24.3
85	90x60x3.5	7.61	9.69	90	60	3.5	7	105.7	23.5	33	56.26	18.75	24.1
86	90x60x4	8.59	10.95	90	60	4	8	117.5	26.1	32.8	62.32	20.77	23.9
87	90x60x4.5	9.55	12.17	90	60	4.5	9	128.4	28.54	32.5	67.93	22.64	23.6
88	90x60x5	10.48	13.36	90	60	5	10	138.6	30.8	32.2	73.1	24.37	23.4
89	90x60x5.5	11.39	14.51	90	60	5.5	11	148	32.9	31.9	77.84	25.95	23.2
90	90x60x6	12.27	15.63	90	60	6	12	156.7	34.83	31.7	82.18	27.39	22.9
91	90x60x7	13.63	17.36	90	60	7	17.5	163.5	36.33	30.7	85.93	28.64	22.3
92	100x40x3	6.13	7.81	100	40	3	6	92.33	18.47	34.4	21.63	10.82	16.6
93	100x40x3.5	7.06	8.99	100	40	3.5	7	104.4	20.89	34.1	24.24	12.12	16.4
94	100x40x4	7.97	10.15	100	40	4	8	115.7	23.13	33.8	26.6	13.3	16.2
95	100x40x4.5	8.85	11.27	100	40	4.5	9	126	25.21	33.4	28.71	14.36	16
96	100x40x5	9.7	12.36	100	40	5	10	135.6	27.11	33.1	30.59	15.3	15.7
97	100x40x5.5	10.53	13.41	100	40	5.5	11	144.3	28.85	32.8	32.25	16.12	15.5
98	100x40x6	11.33	14.43	100	40	6	12	152.2	30.43	32.5	33.69	16.85	15.3
99	100x40x6.5	11.82	15.06	100	40	6.5	16.5	150.1	30.03	31.6	33.54	16.77	14.9
100	100x40x7	12.53	15.96	100	40	7	17.5	155	31.01	31.2	34.39	17.19	14.7
101	100x50x3	6.6	8.41	100	50	3	6	106.4	21.29	35.6	36.02	14.41	20.7
102	100x50x3.5	7.61	9.69	100	50	3.5	7	120.7	24.15	35.3	40.62	16.25	20.5
103	100x50x4	8.59	10.95	100	50	4	8	134.1	26.82	35	44.86	17.94	20.2
104	100x50x4.5	9.55	12.17	100	50	4.5	9	146.6	29.31	34.7	48.74	19.5	20
105	100x50x5	10.48	13.36	100	50	5	10	158.1	31.62	34.4	52.29	20.92	19.8
106	100x50x5.5	11.39	14.51	100	50	5.5	11	168.8	33.76	34.1	55.5	22.2	19.6
107	100x50x6	12.27	15.63	100	50	6	12	178.7	35.73	33.8	58.4	23.36	19.3
108	100x50x6.5	12.84	16.36	100	50	6.5	16.5	178.6	35.71	33	58.77	23.51	19
109	100x50x7	13.63	17.36	100	50	7	17.5	185.3	37.06	32.7	60.74	24.29	18.7
110	100x60x3	7.07	9.01	100	60	3	6	120.6	24.11	36.6	54.61	18.2	24.6
111	100x60x3.5	8.16	10.39	100	60	3.5	7	137	27.41	36.3	61.85	20.62	24.4
112	100x60x4	9.22	11.75	100	60	4	8	152.5	30.51	36	68.59	22.86	24.2
113	100x60x4.5	10.26	13.07	100	60	4.5	9	167.1	33.42	35.8	74.86	24.95	23.9
114	100x60x5	11.27	14.36	100	60	5	10	180.7	36.14	35.5	80.66	26.89	23.7
115	100x60x5.5	12.25	15.61	100	60	5.5	11	193.4	38.68	35.2	86.01	28.67	23.5
116	100x60x6	13.21	16.83	100	60	6	12	205.2	41.03	34.9	90.93	30.31	23.2
117	100x60x6.5	13.86	17.66	100	60	6.5	16.5	207	41.39	34.2	92.18	30.73	22.8
118	100x60x7	14.72	18.76	100	60	7	17.5	215.6	43.12	33.9	95.77	31.92	22.6
119	120x40x3	7.07	9.01	120	40	3	6	148	24.67	40.5	25.74	12.87	16.9
120	120x40x3.5	8.16	10.39	120	40	3.5	7	168.1	28.01	40.2	28.91	14.45	16.7
121	120x40x4	9.22	11.75	120	40	4	8	186.9	31.14	39.9	31.79	15.89	16.4
122	120x40x4.5	10.26	13.07	120	40	4.5	9	204.4	34.07	39.6	34.38	17.19	16.2
123	120x40x5	11.27	14.36	120	40	5	10	220.8	36.79	39.2	36.72	18.36	16
124	120x40x5.5	12.25	15.61	120	40	5.5	11	235.9	39.32	38.9	38.79	19.4	15.8
125	120x40x6	13.21	16.83	120	40	6	12	249.9	41.65	38.5	40.63	20.31	15.5
126	120x40x6.5	13.86	17.66	120	40	6.5	16.5	249.6	41.6	37.6	40.84	20.42	15.2
127	120x40x7	14.72	18.76	120	40	7	17.5	259.2	43.21	37.2	42.01	21	15
128	120x60x3	8.01	10.21	120	60	3	6	189.1	31.52	43	64.35	21.45	25.1
129	120x60x3.5	9.26	11.79	120	60	3.5	7	215.6	35.93	42.8	73.02	24.34	24.9
130	120x60x4	10.48	13.35	120	60	4	8	240.7	40.12	42.5	81.14	27.05	24.7
131	120x60x4.5	11.67	14.87	120	60	4.5	9	264.5	44.08	42.2	88.72	29.57	24.4
132	120x60x5	12.84	16.36	120	60	5	10	286.9	47.82	41.9	95.79	31.93	24.2
133	120x60x5.5	13.98	17.81	120	60	5.5	11	308	51.34	41.6	102.3	34.12	24
134	120x60x6	15.1	19.23	120	60	6	12	327.9	54.65	41.3	108.4	36.14	23.7
135	120x60x6.5	15.9	20.26	120	60	6.5	16.5	333.3	55.56	40.6	110.8	36.93	23.4
136	120x60x7	16.92	21.56	120	60	7	17.5	348.6	58.1	40.2	115.4	38.48	23.1
137	120x80x3	8.96	11.41	120	80	3	6	230.2	38.36	44.9	123.4	30.85	32.9
138	120x80x3.5	10.36	13.19	120	80	3.5	7	263.1	43.85	44.7	140.7	35.18	32.7
139	120x80x4	11.73	14.95	120	80	4	8	294.5	49.09	44.4	157.2	39.3	32.4
140	120x80x4.5	13.08	16.67	120	80	4.5	9	324.5	54.08	44.1	172.8	43.2	32.2
141	120x80x5	14.41	18.36	120	80	5	10	353	58.84	43.9	187.6	46.89	32
142	120x80x5.5	15.71	20.01	120	80	5.5	11	380.1	63.36	43.6	201.5	50.38	31.7
143	120x80x6	16.98	21.63	120	80	6	12	405.9	67.64	43.3	214.7	53.67	31.5
144	120x80x6.5	17.94	22.86	120	80	6.5	16.5	417.1	69.51	42.7	221.3	55.31	31.1
145	120x80x7	19.12	24.36	120	80	7	17.5	438	73	42.4	232	57.99	30.9
146	140x60x3	8.96	11.41	140	60	3	6	278.1	39.72	49.4	74.1	24.7	25.5
