#	имя	Вес		D	s	Iy	Wy	iy
79	127.0x5.5	16.48	20.99	127	5.5	388.19	61.13	43
80	133.0x3.0	9.62	12.25	133	3	258.97	38.94	45.97
81	133.0x3.2	10.24	13.05	133	3.2	274.98	41.35	45.91
82	133.0x3.5	11.18	14.24	133	3.5	298.71	44.92	45.8
83	133.0x3.8	12.11	15.42	133	3.8	322.11	48.44	45.7
84	133.0x4.0	12.73	16.21	133	4	337.53	50.76	45.63
85	133.0x4.5	14.26	18.17	133	4.5	375.42	56.45	45.46
86	133.0x5.0	15.78	20.11	133	5	412.4	62.02	45.29
87	133.0x5.5	17.29	22.03	133	5.5	448.5	67.44	45.12
88	140.0x3.0	10.14	12.91	140	3	303.08	43.3	48.45
89	140.0x3.2	10.8	13.75	140	3.2	321.89	45.98	48.38
90	140.0x3.5	11.78	15.01	140	3.5	349.79	49.97	48.28
91	140.0x3.8	12.76	16.26	140	3.8	377.32	53.9	48.17
92	140.0x4.0	13.42	17.09	140	4	395.47	56.5	48.1
93	140.0x4.5	15.04	19.16	140	4.5	440.12	62.87	47.93
94	140.0x5.0	16.65	21.21	140	5	483.76	69.11	47.76
95	140.0x5.5	18.24	23.24	140	5.5	526.4	75.2	47.59
96	152.0x3.0	11.02	14.04	152	3	389.87	51.3	52.69
97	152.0x3.2	11.74	14.96	152	3.2	414.21	54.5	52.62
98	152.0x3.5	12.82	16.33	152	3.5	450.35	59.26	52.52
99	152.0x3.8	13.89	17.69	152	3.8	486.04	63.95	52.41
100	152.0x4.0	14.6	18.6	152	4	509.59	67.05	52.35
101	152.0x4.5	16.37	20.85	152	4.5	567.61	74.69	52.17
102	152.0x5.0	18.13	23.09	152	5	624.43	82.16	52
103	152.0x5.5	19.87	25.31	152	5.5	680.06	89.48	51.83
104	159.0x3.0	11.54	14.7	159	3	447.42	56.28	55.16
105	159.0x3.2	12.3	15.66	159	3.2	475.44	59.8	55.1
106	159.0x3.5	13.42	17.1	159	3.5	517.06	65.04	54.99
107	159.0x3.8	14.54	18.53	159	3.8	558.19	70.21	54.89
108	159.0x4.0	15.29	19.48	159	4	585.33	73.63	54.82
109	159.0x4.5	17.15	21.84	159	4.5	652.27	82.05	54.65
110	159.0x5.0	18.99	24.19	159	5	717.88	90.3	54.48
111	159.0x5.5	20.82	26.52	159	5.5	782.18	98.39	54.31
112	159.0x6.0	22.64	28.84	159	6	845.19	106.31	54.14
113	159.0x7.0	26.24	33.43	159	7	967.41	121.69	53.8
114	159.0x8.0	29.79	37.95	159	8	1084.67	136.44	53.46
115	168.0x3.0	12.21	15.55	168	3	529.39	63.02	58.35
116	168.0x3.2	13.01	16.57	168	3.2	562.66	66.98	58.28
117	168.0x3.5	14.2	18.09	168	3.5	612.1	72.87	58.17
118	168.0x3.8	15.39	19.6	168	3.8	660.99	78.69	58.07
119	168.0x4.0	16.18	20.61	168	4	693.28	82.53	58
120	168.0x4.5	18.14	23.11	168	4.5	772.95	92.02	57.83
121	168.0x5.0	20.1	25.6	168	5	851.14	101.33	57.66
122	168.0x5.5	22.04	28.08	168	5.5	927.85	110.46	57.49
123	168.0x6.0	23.97	30.54	168	6	1003.12	119.42	57.31
124	168.0x7.0	27.79	35.41	168	7	1149.36	136.83	56.98
125	168.0x8.0	31.57	40.21	168	8	1290.01	153.57	56.64
126	177.8x3.0	12.93	16.47	177.8	3	629.41	70.8	61.81
127	177.8x3.2	13.78	17.55	177.8	3.2	669.1	75.26	61.74
128	177.8x3.5	15.04	19.17	177.8	3.5	728.11	81.9	61.64
129	177.8x3.8	16.31	20.77	177.8	3.8	786.5	88.47	61.53
130	177.8x4.0	17.14	21.84	177.8	4	825.09	92.81	61.46
131	177.8x4.5	19.23	24.5	177.8	4.5	920.37	103.53	61.29
132	177.8x5.0	21.31	27.14	177.8	5	1013.97	114.06	61.12
133	177.8x5.5	23.37	29.77	177.8	5.5	1105.91	124.4	60.95
134	177.8x6.0	25.42	32.38	177.8	6	1196.22	134.56	60.78
135	177.8x7.0	29.49	37.56	177.8	7	1371.99	154.33	60.44
