#	0		A	h	b	s	t	r1	r1	d	Iy	Wy	Sy	iy	Iz	Wz	iz
46	35К1.5	122.8	156.41	346	349	11	17	20	8.5	272	35711.23	2064.2	1135.84	151.1	12051.441	690.63	87.78
47	35К2	136.5	173.87	350	350	12	19	20	9.5	272	40295.09	2302.6	1272.61	152.23	13585.821	776.33	88.39
48	35К3	154.2	196.48	355	351	13.5	21.5	20	10.75	272	46230.77	2604.6	1448.66	153.39	15506.811	883.58	88.84
49	35К4	172.1	219.19	360	352	15	24	20	12	272	52353.703	2908.5	1627.8	154.55	17459.859	992.04	89.25
50	35К5	190	242	365	353	16.5	26.5	20	13.25	272	58667.445	3214.7	1810.04	155.7	19445.301	1101.72	89.64
51	35К6	207.9	264.79	369	360	18	28.5	20	14.25	272	64960.867	3520.9	1991.8	156.63	22183.471	1232.42	91.53
52	35К7	233	296.87	376	361	20	32	20	16	272	74398.836	3957.4	2256.32	158.31	25119.611	1391.67	91.99
53	35К8	255.5	325.47	382	362	22	35	20	17.5	272	82894.789	4340	2491.96	159.59	27708.51	1530.86	92.27
54	35К9	280.9	357.82	389	363	24	38.5	20	19.25	272	93053.125	4784.201	2767.25	161.26	30738.029	1693.56	92.68
55	35К10	307.6	391.87	396	364	26.5	42	20	21	272	103736.938	5239.201	3054.44	162.7	33819.629	1858.22	92.9
56	35К11	344	437.99	404	374	29	46	20	23	272	118982.063	5890.201	3458.4	164.82	40183.363	2148.84	95.78
57	35К12	381	485.77	414	375	32	51	20	25.5	272	135721.125	6556.6	3886.58	167.15	44924.285	2395.96	96.17
58	35К13	419	533.75	424	376	35	56	20	28	272	153322.156	7232.201	4326.2	169.49	49742.078	2645.86	96.54
59	35К14	457	581.93	434	377	38	61	20	30.5	272	171810.203	7917.5	4777.34	171.83	54637.742	2898.55	96.9
60	35К15	503	640.99	446	378	42	67	20	33.5	272	195206.313	8753.7	5336.351	174.51	60526.723	3202.47	97.17
61	35К16	565	719.27	458	392	46	73	20	36.5	272	227053.172	9915	6094.32	177.67	73566.953	3753.42	101.13
62	35К17	619	788.23	472	393	50	80	20	40	272	258357.063	10947.301	6796.661	181.04	81286.57	4136.72	101.55
63	35К18	682	868.47	488	394	55	88	20	44	272	296560.125	12154.101	7629.66	184.79	90173.859	4577.35	101.9
64	35К19	751	956.93	506	395	60	97	20	48.5	272	342451.594	13535.6	8591.51	189.17	100237.852	5075.33	102.35
65	35К20	830	1056.95	520	409	65	104	20	52	272	392963.375	15114.001	9664.421	192.82	119352.508	5836.31	106.26
66	35К21	912	1162.03	540	411	71	114	20	57	272	454051.031	16816.701	10816.7	197.67	132896.313	6466.971	106.94
67	35К22	1002	1276.17	562	413	77	125	20	62.5	272	526659.938	18742.402	12243.011	203.15	148011.266	7167.62	107.69
68	35К23	1105	1407.19	580	426	84	134	20	67	272	606878.313	20926.803	13777.86	207.67	174271.938	8181.78	111.29
69	35К24	1214	1546.07	604	430	92	146	20	73	272	704826.438	23338.602	15522.091	213.51	195579.563	9096.72	112.47
70	40К1	146.6	186.81	394	398	11	18	22	9	314	56145.316	2850	1559.22	173.36	18922.619	950.89	100.64
71	40К2	171.7	218.69	400	400	13	21	22	10.5	314	66621.406	3331.1	1836.23	174.54	22412.67	1120.63	101.23
72	40К3	200.1	254.87	406	403	16	24	22	12	314	78039.227	3844.3	2139.84	174.98	26200.191	1300.26	101.39
