D	s	Вес	имя
42	1.6	1.59	42x1.6
42	1.8	1.78	42x1.8
42	2	1.97	42x2
42	2.2	2.16	42x2.2
42	2.5	2.44	42x2.5
42	2.8	2.71	42x2.8
42	3	2.89	42x3
44.5	1.2	1.28	44.5x1.2
44.5	1.4	1.49	44.5x1.4
44.5	1.5	1.59	44.5x1.5
44.5	1.6	1.69	44.5x1.6
44.5	1.8	1.9	44.5x1.8
44.5	2	2.1	44.5x2
44.5	2.2	2.29	44.5x2.2
44.5	2.5	2.59	44.5x2.5
44.5	2.8	2.88	44.5x2.8
44.5	3	3.07	44.5x3
45	1.2	1.3	45x1.2
45	1.4	1.51	45x1.4
45	1.5	1.61	45x1.5
45	1.6	1.71	45x1.6
45	1.8	1.92	45x1.8
45	2	2.12	45x2
45	2.2	2.32	45x2.2
45	2.5	2.62	45x2.5
45	2.8	2.91	45x2.8
45	3	3.11	45x3
48	1.4	1.61	48x1.4
48	1.5	1.72	48x1.5
48	1.6	1.83	48x1.6
48	1.8	2.05	48x1.8
48	2	2.27	48x2
48	2.2	2.48	48x2.2
48	2.5	2.81	48x2.5
48	2.8	3.12	48x2.8
48	3	3.33	48x3
48	3.2	3.54	48x3.2
48	3.5	3.84	48x3.5
48.3	1.4	1.62	48.3x1.4
48.3	1.5	1.73	48.3x1.5
48.3	1.6	1.84	48.3x1.6
48.3	1.8	2.06	48.3x1.8
48.3	2	2.28	48.3x2
48.3	2.2	2.5	48.3x2.2
48.3	2.5	2.82	48.3x2.5
48.3	2.8	3.14	48.3x2.8
48.3	3	3.35	48.3x3
48.3	3.2	3.56	48.3x3.2
48.3	3.5	3.87	48.3x3.5
51	1.4	1.71	51x1.4
51	1.5	1.83	51x1.5
51	1.6	1.95	51x1.6
51	1.8	2.18	51x1.8
51	2	2.42	51x2
51	2.2	2.65	51x2.2
51	2.5	2.99	51x2.5
51	2.8	3.33	51x2.8
51	3	3.55	51x3
51	3.2	3.77	51x3.2
51	3.5	4.1	51x3.5
53	1.4	1.78	53x1.4
53	1.5	1.91	53x1.5
53	1.6	2.03	53x1.6
53	1.8	2.27	53x1.8
53	2	2.52	53x2
53	2.2	2.76	53x2.2
53	2.5	3.11	53x2.5
53	2.8	3.47	53x2.8
53	3	3.7	53x3
53	3.2	3.93	53x3.2
53	3.5	4.27	53x3.5
54	1.4	1.82	54x1.4
54	1.5	1.94	54x1.5
54	1.6	2.07	54x1.6
54	1.8	2.32	54x1.8
54	2	2.56	54x2
54	2.2	2.81	54x2.2
54	2.5	3.18	54x2.5
54	2.8	3.54	54x2.8
54	3	3.77	54x3
54	3.2	4.01	54x3.2
54	3.5	4.36	54x3.5
57	1.4	1.92	57x1.4
57	1.5	2.05	57x1.5
57	1.6	2.19	57x1.6
57	1.8	2.45	57x1.8
57	2	2.71	57x2
57	2.2	2.97	57x2.2
57	2.5	3.36	57x2.5
57	2.8	3.74	57x2.8
57	3	4	57x3
57	3.2	4.25	57x3.2
57	3.5	4.62	57x3.5
60	1.4	2.02	60x1.4
60	1.5	2.16	60x1.5
60	1.6	2.3	60x1.6
60	1.8	2.58	60x1.8
60	2	2.86	60x2
60	2.2	3.14	60x2.2
60	2.5	3.54	60x2.5
60	2.8	3.95	60x2.8
60	3	4.22	60x3
60	3.2	4.48	60x3.2
60	3.5	4.88	60x3.5
60	3.8	5.27	60x3.8
63.5	1.4	2.14	63.5x1.4
63.5	1.5	2.29	63.5x1.5
63.5	1.6	2.44	63.5x1.6
63.5	1.8	2.74	63.5x1.8
63.5	2	3.03	63.5x2
63.5	2.2	3.33	63.5x2.2
63.5	2.5	3.76	63.5x2.5
63.5	2.8	4.19	63.5x2.8
63.5	3	4.48	63.5x3
63.5	3.2	4.76	63.5x3.2
63.5	3.5	5.18	63.5x3.5
63.5	3.8	5.59	63.5x3.8
70	1.4	2.37	70x1.4
70	1.5	2.53	70x1.5
70	1.6	2.7	70x1.6
70	1.8	3.03	70x1.8
70	2	3.35	70x2
70	2.2	3.68	70x2.2
70	2.5	4.16	70x2.5
70	2.8	4.64	70x2.8
70	3	4.96	70x3
70	3.2	5.27	70x3.2
70	3.5	5.74	70x3.5
70	3.8	6.2	70x3.8
70	4	6.51	70x4
73	1.4	2.47	73x1.4
73	1.5	2.64	73x1.5
73	1.6	2.82	73x1.6
73	1.8	3.16	73x1.8
73	2	3.5	73x2
73	2.2	3.84	73x2.2
73	2.5	4.35	73x2.5
73	2.8	4.85	73x2.8
73	3	5.18	73x3
73	3.2	5.51	73x3.2
73	3.5	6	73x3.5
73	3.8	6.48	73x3.8
73	4	6.81	73x4
76	1.4	2.58	76x1.4
76	1.5	2.76	76x1.5
76	1.6	2.94	76x1.6
76	1.8	3.29	76x1.8
76	2	3.65	76x2
76	2.2	4	76x2.2
76	2.5	4.53	76x2.5
76	2.8	5.05	76x2.8
76	3	5.4	76x3
76	3.2	5.74	76x3.2
76	3.5	6.26	76x3.5
76	3.8	6.77	76x3.8
76	4	7.1	76x4
76	4.5	7.93	76x4.5
76	5	8.75	76x5
76	5.5	9.56	76x5.5
83	1.6	3.21	83x1.6
83	1.8	3.6	83x1.8
83	2	4	83x2
83	2.2	4.38	83x2.2
83	2.5	4.96	83x2.5
83	2.8	5.54	83x2.8
83	3	5.92	83x3
83	3.2	6.3	83x3.2
83	3.5	6.86	83x3.5
83	3.8	7.42	83x3.8
83	4	7.79	83x4
83	4.5	8.71	83x4.5
83	5	9.62	83x5
83	5.5	10.51	83x5.5
89	1.6	3.45	89x1.6
89	1.8	3.87	89x1.8
89	2	4.29	89x2
89	2.2	4.71	89x2.2
89	2.5	5.33	89x2.5
89	2.8	5.95	89x2.8
89	3	6.36	89x3
89	3.2	6.77	89x3.2
89	3.5	7.38	89x3.5
89	3.8	7.98	89x3.8
89	4	8.38	89x4
89	4.5	9.38	89x4.5
89	5	10.36	89x5
89	5.5	11.33	89x5.5
95	2	4.59	95x2
95	2.5	5.7	95x2.5
95	3.2	7.24	95x3.2
95	5	11.1	95x5
102	1.8	4.45	102x1.8
102	2	4.93	102x2
102	2.2	5.41	102x2.2
102	2.5	6.13	102x2.5
102	2.8	6.85	102x2.8
102	3	7.32	102x3
102	3.2	7.8	102x3.2
102	3.5	8.5	102x3.5
102	3.8	9.2	102x3.8
102	4	9.67	102x4
102	4.5	10.82	102x4.5
102	5	11.96	102x5
102	5.5	13.09	102x5.5
108	1.8	4.71	108x1.8
108	2	5.23	108x2
108	2.2	5.74	108x2.2
108	2.5	6.5	108x2.5
108	2.8	7.26	108x2.8
108	3	7.77	108x3
108	3.2	8.27	108x3.2
108	3.5	9.02	108x3.5
108	3.8	9.76	108x3.8
108	4	10.26	108x4
108	4.5	11.49	108x4.5
108	5	12.7	108x5
108	5.5	13.9	108x5.5
114	1.8	4.98	114x1.8
114	2	5.52	114x2
114	2.2	6.07	114x2.2
114	2.5	6.87	114x2.5
114	2.8	7.68	114x2.8
114	3	8.21	114x3
114	3.2	8.74	114x3.2
114	3.5	9.54	114x3.5
114	3.8	10.33	114x3.8
114	4	10.85	114x4
114	4.5	12.15	114x4.5
114	5	13.44	114x5
114	5.5	14.72	114x5.5
127	1.8	5.56	127x1.8
127	2	6.17	127x2
127	2.2	6.77	127x2.2
127	2.5	7.68	127x2.5
127	2.8	8.58	127x2.8
127	3	9.17	127x3
127	3.2	9.77	127x3.2
127	3.5	10.66	127x3.5
127	3.8	11.55	127x3.8
127	4	12.13	127x4
127	4.5	13.59	127x4.5
127	5	15.04	127x5
127	5.5	16.48	127x5.5
133	1.8	5.82	133x1.8
133	2	6.46	133x2
133	2.2	7.1	133x2.2
133	2.5	8.05	133x2.5
133	2.8	8.99	133x2.8
133	3	9.62	133x3
133	3.2	10.24	133x3.2
133	3.5	11.18	133x3.5
133	3.8	12.11	133x3.8
133	4	12.72	133x4
133	4.5	14.26	133x4.5
133	5	15.78	133x5
133	5.5	17.29	133x5.5
140	1.8	6.13	140x1.8
140	2	6.81	140x2
140	2.2	7.48	140x2.2
140	2.5	8.48	140x2.5
140	2.8	9.47	140x2.8
140	3	10.14	140x3
140	3.2	10.8	140x3.2
140	3.5	11.78	140x3.5
140	3.8	12.76	140x3.8
140	4	13.42	140x4
140	4.5	15.04	140x4.5
140	5	16.65	140x5
140	5.5	18.24	140x5.5
152	1.8	6.67	152x1.8
152	2	7.4	152x2
152	2.2	8.13	152x2.2
152	2.5	9.22	152x2.5
152	2.8	10.3	152x2.8
152	3	11.02	152x3
152	3.2	11.74	152x3.2
152	3.5	12.82	152x3.5
152	3.8	13.89	152x3.8
152	4	14.6	152x4
152	4.5	16.37	152x4.5
152	5	18.13	152x5
152	5.5	19.87	152x5.5
159	1.8	6.98	159x1.8
159	2	7.74	159x2
159	2.2	8.51	159x2.2
159	2.5	9.65	159x2.5
159	2.8	10.79	159x2.8
159	3	11.54	159x3
159	3.2	12.29	159x3.2
159	3.5	13.42	159x3.5
159	3.8	14.54	159x3.8
159	4	15.29	159x4
159	4.5	17.15	159x4.5
159	5	18.99	159x5
159	5.5	20.82	159x5.5
159	6	22.64	159x6
159	7	26.24	159x7
159	8	29.79	159x8
168	1.8	7.38	168x1.8
168	2	8.19	168x2
168	2.2	9	168x2.2
168	2.5	10.2	168x2.5
168	2.8	11.41	168x2.8
168	3	12.21	168x3
168	3.2	13.01	168x3.2
168	3.5	14.2	168x3.5
168	3.8	15.39	168x3.8
168	4	16.18	168x4
168	4.5	18.14	168x4.5
168	5	20.1	168x5
168	5.5	22.04	168x5.5
168	6	23.97	168x6
168	7	27.79	168x7
168	8	31.57	168x8
177.8	1.8	7.81	177.8x1.8
177.8	2	8.67	177.8x2
177.8	2.2	9.53	177.8x2.2
177.8	2.5	10.81	177.8x2.5
177.8	2.8	12.08	177.8x2.8
177.8	3	12.93	177.8x3
177.8	3.2	13.78	177.8x3.2
177.8	3.5	15.04	177.8x3.5
177.8	3.8	16.31	177.8x3.8
177.8	4	17.14	177.8x4
177.8	4.5	19.23	177.8x4.5
177.8	5	21.31	177.8x5
177.8	5.5	23.37	177.8x5.5
177.8	6	25.42	177.8x6
177.8	7	29.48	177.8x7
177.8	8	33.5	177.8x8
180	4	17.36	180x4
180	5	21.58	180x5
193.7	2	9.45	193.7x2
193.7	2.2	10.39	193.7x2.2
193.7	2.5	11.79	193.7x2.5
193.7	2.8	13.18	193.7x2.8
193.7	3	14.11	193.7x3
193.7	3.2	15.03	193.7x3.2
193.7	3.5	16.42	193.7x3.5
193.7	3.8	17.8	193.7x3.8
193.7	4	18.71	193.7x4
193.7	4.5	21	193.7x4.5
193.7	5	23.27	193.7x5
193.7	5.5	25.53	193.7x5.5
193.7	6	27.77	193.7x6
193.7	7	32.23	193.7x7
193.7	8	36.64	193.7x8
219	2.5	13.35	219x2.5
219	2.8	14.93	219x2.8
219	3	15.98	219x3
219	3.2	17.03	219x3.2
219	3.5	18.6	219x3.5
219	3.8	20.17	219x3.8
219	4	21.21	219x4
219	4.5	23.8	219x4.5
219	5	26.39	219x5
219	5.5	28.96	219x5.5
219	6	31.52	219x6
219	7	36.6	219x7
219	8	41.63	219x8
219	9	46.61	219x9
244.5	3	17.87	244.5x3
244.5	3.2	19.04	244.5x3.2
244.5	3.5	20.8	244.5x3.5
244.5	3.8	22.56	244.5x3.8
244.5	4	23.72	244.5x4
244.5	4.5	26.63	244.5x4.5
244.5	5	29.53	244.5x5
244.5	5.5	32.42	244.5x5.5
244.5	6	35.29	244.5x6
244.5	7	41	244.5x7
244.5	8	46.66	244.5x8
244.5	9	52.27	244.5x9
273	3.5	23.26	273x3.5
273	3.8	25.23	273x3.8
273	4	26.53	273x4
273	4.5	29.8	273x4.5
273	5	33.05	273x5
273	5.5	36.28	273x5.5
273	6	39.51	273x6
273	7	45.92	273x7
273	8	52.28	273x8
273	9	58.59	273x9
325	4	31.66	325x4
325	4.5	35.57	325x4.5
325	5	39.46	325x5
325	5.5	43.34	325x5.5
325	6	47.2	325x6
325	7	54.89	325x7
325	8	62.54	325x8
325	9	70.14	325x9
355.6	4	34.68	355.6x4
355.6	4.5	38.96	355.6x4.5
