#	имя	Вес		D	s
131	30x2.5	1.7	2.55	30	2.5
132	32x1	0.765	1.04	32	1
133	32x1.2	0.911	1.25	32	1.2
134	32x1.4	1.06	1.47	32	1.4
135	32x1.5	1.13	1.58	32	1.5
136	32x1.6	1.2	1.69	32	1.6
137	32x1.8	1.34	1.91	32	1.8
138	32x2	1.48	2.14	32	2
139	32x2.2	1.62	2.36	32	2.2
140	32x2.5	1.82	2.71	32	2.5
141	32x2.8	2.02	3.06	32	2.8
142	32x3	2.15	3.3	32	3
143	33x1	0.789	1.07	33	1
144	33x1.2	0.941	1.29	33	1.2
145	33x1.4	1.09	1.51	33	1.4
146	33x1.5	1.17	1.63	33	1.5
147	33x1.6	1.24	1.74	33	1.6
148	33x1.8	1.38	1.97	33	1.8
149	33x2	1.53	2.2	33	2
150	33x2.2	1.67	2.43	33	2.2
151	33x2.5	1.88	2.79	33	2.5
152	33x2.8	2.09	3.15	33	2.8
153	33x3	2.22	3.39	33	3
154	33.7x1.2	0.962	1.32	33.7	1.2
155	33.7x1.4	1.12	1.54	33.7	1.4
156	33.7x1.5	1.19	1.66	33.7	1.5
157	33.7x1.6	1.27	1.77	33.7	1.6
158	33.7x1.8	1.42	2.01	33.7	1.8
159	33.7x2	1.56	2.24	33.7	2
160	33.7x2.2	1.71	2.48	33.7	2.2
161	33.7x2.5	1.92	2.84	33.7	2.5
162	33.7x2.8	2.13	3.21	33.7	2.8
163	33.7x3	2.27	3.46	33.7	3
164	35x1.2	1	1.36	35	1.2
165	35x1.4	1.16	1.6	35	1.4
166	35x1.5	1.24	1.72	35	1.5
167	35x1.6	1.32	1.84	35	1.6
168	35x1.8	1.47	2.08	35	1.8
169	35x2	1.63	2.32	35	2
170	35x2.2	1.78	2.57	35	2.2
171	35x2.5	2	2.95	35	2.5
172	35x2.8	2.22	3.33	35	2.8
173	35x3	2.37	3.58	35	3
174	36x1.2	1.03	1.4	36	1.2
175	36x1.4	1.19	1.64	36	1.4
176	36x1.5	1.28	1.77	36	1.5
177	36x1.6	1.36	1.89	36	1.6
178	36x1.8	1.52	2.14	36	1.8
179	36x2	1.68	2.39	36	2
180	36x2.2	1.83	2.64	36	2.2
181	36x2.5	2.07	3.02	36	2.5
182	36x2.8	2.29	3.41	36	2.8
183	36x3	2.44	3.68	36	3
184	38x1.2	1.09	1.48	38	1.2
185	38x1.4	1.26	1.73	38	1.4
186	38x1.5	1.35	1.86	38	1.5
187	38x1.6	1.44	1.99	38	1.6
188	38x1.8	1.61	2.25	38	1.8
189	38x2	1.78	2.51	38	2
190	38x2.2	1.94	2.78	38	2.2
191	38x2.5	2.19	3.18	38	2.5
192	38x2.8	2.43	3.59	38	2.8
193	38x3	2.59	3.86	38	3
194	40x1.2	1.15	1.55	40	1.2
195	40x1.4	1.33	1.82	40	1.4
196	40x1.5	1.42	1.96	40	1.5
197	40x1.6	1.52	2.09	40	1.6
198	40x1.8	1.7	2.36	40	1.8
199	40x2	1.87	2.64	40	2
200	40x2.2	2.05	2.92	40	2.2
201	40x2.5	2.31	3.34	40	2.5
202	40x2.8	2.57	3.76	40	2.8
203	40x3	2.74	4.05	40	3
204	42x1.2	1.21	1.63	42	1.2
205	42x1.4	1.4	1.91	42	1.4
206	42x1.5	1.5	2.05	42	1.5
207	42x1.6	1.59	2.19	42	1.6
208	42x1.8	1.78	2.48	42	1.8
209	42x2	1.97	2.76	42	2
210	42x2.2	2.16	3.05	42	2.2
211	42x2.5	2.44	3.5	42	2.5
212	42x2.8	2.71	3.94	42	2.8
