#		P	A	h	b	s	r1	yo
131	160x120x6	17.79	22.66	160	120	6	9	39.3
132	160x160x6	21.56	27.46	160	160	6	9	56.9
133	170x60x4	8.64	11	170	60	4	6	14.2
134	170x70x5	1.45	14.59	170	70	5	7	18.1
135	170x70x6	13.55	17.26	170	70	6	9	18.6
136	180x40x3	5.85	7.45	180	40	3	5	7.5
137	180x40x4	7.7	9.81	180	40	4	6	7.9
138	180x50x4	8.32	10.6	180	50	4	6	10.7
139	180x70x6	14.02	17.85	180	70	6	9	18.1
140	180x80x4	10.21	13	180	80	4	6	20.7
141	180x80x5	12.68	16.09	180	80	5	7	21.2
142	180x80x6	14.96	19.08	180	80	6	9	21.7
143	180x100x5	14.2	18.09	180	100	5	7	28.8
144	180x100x6	16.84	21.46	180	100	6	9	29.3
145	180x130x8	25.76	32.82	180	130	8	12	42.8
146	185x100x3	8.79	11.2	185	100	3	5	27.5
147	200x50x3	6.79	8.65	200	50	3	5	9.7
148	200x50x4	8.95	11.41	200	50	4	6	10.1
149	200x80x4	10.83	13.81	200	80	4	6	19.6
150	200x80x5	13.42	17.09	200	80	5	7	20.1
151	200x80x6	15.91	20.26	200	80	6	9	20.6
152	200x100x3	9.15	11.65	200	100	3	5	26.5
153	200x100x6	17.79	22.66	200	100	6	9	27.9
154	200x180x6	25.23	32.26	200	180	6	9	61.3
155	205x38x2.5	5.34	6.81	205	38	2.5	3	6.2
156	206x75x6	15.72	20.02	206	75	6	9	18.6
157	210x57x4	9.71	12.37	210	57	4	6	11.8
158	250x35x3	7.26	9.25	250	35	3	5	5.2
159	250x60x3	8.44	10.75	250	60	3	5	11.1
160	250x60x4	11.15	14.21	250	60	4	6	11.5
161	250x60x5	13.81	17.59	250	60	5	7	11.9
162	250x60x6	16.38	20.86	250	60	6	9	12.4
163	250x125x6	22.5	28.66	250	125	6	9	34.2
164	270x100x7	24.42	33.11	270	100	7	10	24.5
165	280x60x3.9	11.8	15.03	280	60	3.9	6	10.7
166	280x140x5	21.27	27.09	280	140	5	7	37.4
167	300x80x6	20.62	26.26	300	80	6	9	16.6
168	300x100x8	29.53	37.62	300	100	8	12	23.7
169	310x100x6	22.97	39.26	310	100	6	9	22.3
170	380x65x6	22.97	29.26	380	65	6	9	10.9
171	400x95x8	35.18	44.82	400	95	8	12	18.8
172	410x65x6	24.38	31.6	410	65	6	9	10.5
