5,00	0,81	1,46
5,20	0,80	1,44
5,40	0,79	1,42
5,60	0,78	1,40
5,80	0,74	1,33
6,00	0,70	1,26
6,20	0,66	1,19
6,40	0,65	1,17
6,60	0,62	1,12
6,80	0,59	1,06
7,00	0,57	1,03
7,20	0,56	1,01
7,40	0,54	0,97
7,60	0,53	0,95
7,80	0,52	0,94
8,00	0,50	0,90
8,20	0,49	0,88
8,40	0,47	0,85
8,60	0,45	0,81
8,80	0,44	0,79
9,00	0,43	0,77
9,20	0,42	0,76
9,40	0,41	0,74
9,60	0,40	0,72
9,80	0,39	0,70
10,00	0,38	0,68
10,20	0,37	0,67
10,40	0,36	0,65
10,60	0,35	0,63
10,80	0,34	0,61
11,00	0,33	0,59
11,20	0,32	0,58
11,40	0,31	0,56
11,60	0,30	0,54
11,80	0,29	0,52
12,00	0,28	0,50
15,00	0,27	0,49
16,00	0,26	0,47
17,00	0,25	0,45
20,00	0,24	0,43
22,00	0,23	0,41
24,00	0,22	0,40
26,00	0,21	0,38
28,00	0,20	0,36
30,00	0,19	0,34
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
